Price,Location,City,Area,No. of Bedrooms,No. of Bathrooms,No.of floor,ATM,School,24X7Security,CarParking,Hospital,Latitude,Longitude
8400000,5th Phase,Bangalore,1180,2,2,0,1,1,1,1,1,13.1051471,77.5714776
7418111,5th Phase,Bangalore,1180,2,2,0,1,1,1,1,1,13.1051471,77.5714776
6700000,5th Phase,Bangalore,1180,2,2,0,1,1,1,1,1,13.1051471,77.5714776
4800000,5th Phase,Bangalore,1180,2,2,0,1,1,1,1,1,13.1051471,77.5714776
5800000,5th Phase,Bangalore,1185,2,2,0,1,1,1,1,1,13.1051471,77.5714776
4876000,5th Phase,Bangalore,1185,2,2,0,1,1,1,1,1,13.1051471,77.5714776
8500000,5th Phase,Bangalore,1430,3,3,1,1,1,1,1,1,13.1051471,77.5714776
6360000,5th Phase,Bangalore,1430,3,3,1,1,1,1,1,1,13.1051471,77.5714776
2800000,5th Stage BEML Layout,Bangalore,1400,3,3,1,1,1,1,1,1,12.9066721,77.5215371
6528000,5th Stage BEML Layout,Bangalore,1450,3,3,1,1,1,1,1,1,12.9066721,77.5215371
8120000,5th Stage BEML Layout,Bangalore,1500,3,3,1,1,1,1,1,1,12.9066721,77.5215371
8400000,5th Stage Raja Rajeshwari Nagar,Bangalore,1105,2,2,0,1,1,1,1,1,17.3347866,78.6008776
4133000,5th Stage Raja Rajeshwari Nagar,Bangalore,1105,2,2,0,1,1,1,1,1,17.3347866,78.6008776
5160000,5th Stage Raja Rajeshwari Nagar,Bangalore,1360,3,3,1,1,1,1,1,1,17.3347866,78.6008776
5661000,5th Stage Raja Rajeshwari Nagar,Bangalore,1500,3,3,1,1,1,1,1,1,17.3347866,78.6008776
7840000,6th phase jp nagar,Bangalore,1500,3,3,1,1,1,1,1,1,12.9119761,77.5827294
8400000,8th Phase JP Nagar,Bangalore,1023,2,2,0,1,1,1,1,1,12.9155514,77.5774308
7100000,8th Phase JP Nagar,Bangalore,1111,2,2,0,1,1,1,1,1,12.9155514,77.5774308
4864000,8th Phase JP Nagar,Bangalore,1111,2,2,0,1,1,1,1,1,12.9155514,77.5774308
3800000,8th Phase JP Nagar,Bangalore,1111,2,2,0,1,1,1,1,1,12.9155514,77.5774308
4100000,8th Phase JP Nagar,Bangalore,1150,2,2,0,1,1,1,1,1,12.9155514,77.5774308
6528000,Abbigere,Bangalore,1100,2,2,0,1,1,1,1,1,13.0742739,77.5288653
5000000,Abbigere,Bangalore,1100,2,2,0,1,1,1,1,1,13.0742739,77.5288653
4833000,Abbigere,Bangalore,1100,2,2,0,1,1,1,1,1,13.0742739,77.5288653
4000000,Abbigere,Bangalore,1100,2,2,0,1,1,1,1,1,13.0742739,77.5288653
4000000,Abbigere,Bangalore,1100,2,2,0,1,1,1,1,1,13.0742739,77.5288653
3800000,Abbigere,Bangalore,1100,2,2,0,1,1,1,1,1,13.0742739,77.5288653
3180000,Abbigere,Bangalore,1100,2,2,0,1,1,1,1,1,13.0742739,77.5288653
3100000,Abbigere,Bangalore,1100,2,2,0,1,1,1,1,1,13.0742739,77.5288653
3100000,Abbigere,Bangalore,1100,2,2,0,1,1,1,1,1,13.0742739,77.5288653
2851000,Abbigere,Bangalore,1100,2,2,0,1,1,1,1,1,13.0742739,77.5288653
6200000,Abbigere,Bangalore,1140,2,2,0,1,1,1,1,1,13.0742739,77.5288653
6100000,Abbigere,Bangalore,1140,2,2,0,1,1,1,1,1,13.0742739,77.5288653
4860000,Abbigere,Bangalore,1140,2,2,0,1,1,1,1,1,13.0742739,77.5288653
4300000,Abbigere,Bangalore,1140,2,2,0,1,1,1,1,1,13.0742739,77.5288653
4000000,Abbigere,Bangalore,1140,2,2,0,1,1,1,1,1,13.0742739,77.5288653
4000000,Abbigere,Bangalore,1140,2,2,0,1,1,1,1,1,13.0742739,77.5288653
4000000,Abbigere,Bangalore,1140,2,2,0,1,1,1,1,1,13.0742739,77.5288653
3800000,Abbigere,Bangalore,1140,2,2,0,1,1,1,1,1,13.0742739,77.5288653
3100000,Abbigere,Bangalore,1140,2,2,0,1,1,1,1,1,13.0742739,77.5288653
3100000,Abbigere,Bangalore,1140,2,2,0,1,1,1,1,1,13.0742739,77.5288653
4304000,Adugodi,Bangalore,1083,2,2,0,1,1,1,1,1,12.9428472,77.6104155
3744000,Adugodi,Bangalore,1115,3,3,1,1,1,1,1,1,12.9428472,77.6104155
3232000,Adugodi,Bangalore,1127,2,2,0,1,1,1,1,1,12.9428472,77.6104155
4600000,Adugodi,Bangalore,1145,3,3,1,1,1,1,1,1,12.9428472,77.6104155
4060000,Adugodi,Bangalore,1860,3,3,1,1,1,1,1,1,12.9428472,77.6104155
8400000,AECS Layout A Block Singasandra,Bangalore,1160,2,2,0,1,1,1,1,1,12.8843419,77.6494922
5500000,AECS Layout A Block Singasandra,Bangalore,1175,2,2,0,1,1,1,1,1,12.8843419,77.6494922
4720000,AECS Layout A Block Singasandra,Bangalore,1310,3,3,1,1,1,1,1,1,12.8843419,77.6494922
7208000,AGS Layout Arehalli,Bangalore,1040,2,2,0,1,1,1,1,1,12.9081126,77.539765
6400000,AGS Layout Arehalli,Bangalore,1110,2,2,0,1,1,1,1,1,12.9081126,77.539765
3180000,AGS Layout Arehalli,Bangalore,1110,2,2,0,1,1,1,1,1,12.9081126,77.539765
8120000,AGS Layout Arehalli,Bangalore,1300,3,3,1,1,1,1,1,1,12.9081126,77.539765
5511000,Amruthahalli,Bangalore,1120,2,2,0,0,0,0,0,0,13.0665131,77.5966238
4100000,Ananth Nagar,Bangalore,1465,3,3,1,1,1,1,1,1,11.962171,75.3866497
8201000,Anjanapura,Bangalore,1140,2,2,0,1,1,1,1,1,12.6847039,77.2711718
6000000,Anjanapura,Bangalore,1140,2,2,0,1,1,1,1,1,12.6847039,77.2711718
4700000,Anjanapura,Bangalore,1140,2,2,0,1,1,1,1,1,12.6847039,77.2711718
4700000,Anjanapura,Bangalore,1140,2,2,0,1,1,1,1,1,12.6847039,77.2711718
4500000,Anjanapura,Bangalore,1140,2,2,0,1,1,1,1,1,12.6847039,77.2711718
4400000,Anjanapura,Bangalore,1140,2,2,0,1,1,1,1,1,12.6847039,77.2711718
4400000,Anjanapura,Bangalore,1140,2,2,0,1,1,1,1,1,12.6847039,77.2711718
4311000,Anjanapura,Bangalore,1140,2,2,0,1,1,1,1,1,12.6847039,77.2711718
6138000,Anjanapura,Bangalore,1176,2,2,0,1,1,1,1,1,12.6847039,77.2711718
6831111,Anjanapura,Bangalore,1301,2,2,0,1,1,1,1,1,12.6847039,77.2711718
7500000,Anjanapura,Bangalore,1310,3,3,1,1,1,1,1,1,12.6847039,77.2711718
6810000,Anjanapura,Bangalore,1320,2,2,0,1,1,1,1,1,12.6847039,77.2711718
6181000,Anjanapura,Bangalore,1331,2,2,0,1,1,1,1,1,12.6847039,77.2711718
8817000,Anjanapura,Bangalore,1332,2,2,0,1,1,1,1,1,12.6847039,77.2711718
6153000,Anjanapura,Bangalore,1332,2,2,0,1,1,1,1,1,12.6847039,77.2711718
6114000,Anjanapura,Bangalore,1340,2,2,0,1,1,1,1,1,12.6847039,77.2711718
4700000,Anjanapura,Bangalore,1360,3,3,1,1,1,1,1,1,12.6847039,77.2711718
7151000,Anjanapura,Bangalore,1370,2,2,0,1,1,1,1,1,12.6847039,77.2711718
7177000,Anjanapura,Bangalore,1375,2,2,0,1,1,1,1,1,12.6847039,77.2711718
8073000,Anjanapura,Bangalore,1415,3,3,1,0,0,1,1,0,12.6847039,77.2711718
7811000,Anjanapura,Bangalore,1418,3,3,1,1,1,1,1,1,12.6847039,77.2711718
8137000,Anjanapura,Bangalore,1551,3,3,1,1,1,1,1,1,12.6847039,77.2711718
8641000,Anjanapura,Bangalore,1657,3,3,1,1,1,1,1,1,12.6847039,77.2711718
6651111,Anjanapura,Bangalore,1657,3,3,1,1,1,1,1,1,12.6847039,77.2711718
8665000,Anjanapura,Bangalore,1660,3,3,1,1,1,1,1,1,12.6847039,77.2711718
6213000,Anjanapura,Bangalore,1660,3,3,1,1,1,1,1,1,12.6847039,77.2711718
8712000,Anjanapura,Bangalore,1661,3,3,1,1,1,1,1,1,12.6847039,77.2711718
8611000,Anjanapura,Bangalore,1665,3,3,1,1,1,1,1,1,12.6847039,77.2711718
7262000,Anjanapura,Bangalore,1665,3,3,1,1,1,1,1,1,12.6847039,77.2711718
7840000,Anjanapura,Bangalore,1718,3,3,1,1,1,1,1,1,12.6847039,77.2711718
8087000,Anjanapura,Bangalore,1860,3,3,1,1,1,1,1,1,12.6847039,77.2711718
7100000,Annapurneshwari Nagar,Bangalore,1150,1,1,0,1,1,1,1,1,12.9770585,77.6318947
4144000,Ashok Nagar,Bangalore,7000,4,4,1,1,1,1,1,1,13.0400731,80.2159247
3612000,Ashok Nagar,Bangalore,7000,4,4,1,1,1,1,1,1,13.0400731,80.2159247
